Retailer,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Walmart,4/29/2020,Northeast,New York,New York,Women's Street Footwear,55.00,920.00,506000.00,177100.00,35%,Outlet
Walmart,4/30/2020,Northeast,New York,New York,Women's Athletic Footwear,55.00,900.00,495000.00,173250.00,35%,Outlet
Walmart,5/1/2020,Northeast,New York,New York,Men's Apparel,65.00,875.00,568750.00,170625.00,30%,Outlet
Walmart,5/2/2020,Northeast,New York,New York,Women's Apparel,70.00,975.00,682500.00,170625.00,25%,Outlet
Walmart,5/3/2020,Northeast,New York,New York,Men's Street Footwear,65.00,1200.00,780000.00,390000.00,50%,Outlet
Walmart,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,1000.00,550000.00,165000.00,30%,Outlet
Walmart,5/5/2020,Northeast,New York,New York,Women's Street Footwear,55.00,950.00,522500.00,182875.00,35%,Outlet
Walmart,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,55.00,900.00,495000.00,173250.00,35%,Outlet
Walmart,5/7/2020,Northeast,New York,New York,Men's Apparel,65.00,900.00,585000.00,175500.00,30%,Outlet
Walmart,7/18/2020,Northeast,New York,New York,Women's Apparel,70.00,1000.00,700000.00,175000.00,25%,Outlet
Sports Direct,7/19/2020,Northeast,New York,New York,Men's Street Footwear,25.00,900.00,225000.00,78750.00,35%,Outlet
Sports Direct,7/20/2020,Northeast,New York,New York,Men's Athletic Footwear,35.00,900.00,315000.00,110250.00,35%,Outlet
Sports Direct,7/21/2020,Northeast,New York,New York,Women's Street Footwear,35.00,700.00,245000.00,85750.00,35%,Outlet
Sports Direct,7/22/2020,Northeast,New York,New York,Women's Athletic Footwear,35.00,700.00,245000.00,110250.00,45%,Outlet
Sports Direct,7/23/2020,South,Texas,Houston,Men's Apparel,40.00,550.00,220000.00,66000.00,30%,Outlet
Sports Direct,7/24/2020,South,Texas,Houston,Women's Apparel,35.00,700.00,245000.00,122500.00,50%,Outlet
Sports Direct,7/25/2020,South,Texas,Houston,Men's Street Footwear,25.00,850.00,212500.00,74375.00,35%,Outlet
Sports Direct,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,35.00,850.00,297500.00,104125.00,35%,Outlet
Sports Direct,7/27/2020,South,Texas,Houston,Women's Street Footwear,35.00,675.00,236250.00,82687.50,35%,Outlet
Sports Direct,7/28/2020,South,Texas,Houston,Women's Athletic Footwear,35.00,625.00,218750.00,98437.50,45%,Outlet
Sports Direct,7/29/2020,South,Texas,Houston,Men's Apparel,40.00,500.00,200000.00,60000.00,30%,Outlet
Sports Direct,7/30/2020,South,Texas,Houston,Women's Apparel,35.00,700.00,245000.00,122500.00,50%,Outlet
Sports Direct,7/31/2020,South,Texas,Houston,Men's Street Footwear,30.00,875.00,262500.00,91875.00,35%,Outlet
Sports Direct,8/1/2020,South,Texas,Houston,Men's Athletic Footwear,40.00,875.00,350000.00,122500.00,35%,Outlet
Sports Direct,8/2/2020,South,Texas,Houston,Women's Street Footwear,35.00,700.00,245000.00,85750.00,35%,Outlet
Sports Direct,8/3/2020,South,Texas,Houston,Women's Athletic Footwear,40.00,600.00,240000.00,108000.00,45%,Outlet
Sports Direct,8/4/2020,South,Texas,Houston,Men's Apparel,45.00,500.00,225000.00,67500.00,30%,Outlet
Sports Direct,8/5/2020,South,Texas,Houston,Women's Apparel,40.00,650.00,260000.00,130000.00,50%,Outlet
Sports Direct,8/6/2020,South,Texas,Houston,Men's Street Footwear,30.00,900.00,270000.00,94500.00,35%,Outlet
Sports Direct,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,40.00,900.00,360000.00,126000.00,35%,Outlet
Sports Direct,8/8/2020,South,Texas,Houston,Women's Street Footwear,35.00,725.00,253750.00,88812.50,35%,Outlet
Sports Direct,8/9/2020,South,Texas,Houston,Women's Athletic Footwear,40.00,625.00,250000.00,112500.00,45%,Outlet
Walmart,8/10/2020,South,Texas,Houston,Men's Apparel,45.00,525.00,236250.00,70875.00,30%,Outlet
Walmart,8/11/2020,South,Texas,Houston,Women's Apparel,40.00,800.00,320000.00,160000.00,50%,Outlet
Walmart,8/12/2020,South,Texas,Houston,Men's Street Footwear,30.00,925.00,277500.00,97125.00,35%,Outlet
Walmart,8/13/2020,South,Texas,Houston,Men's Athletic Footwear,40.00,925.00,370000.00,129500.00,35%,Outlet
Walmart,8/14/2020,South,Texas,Houston,Women's Street Footwear,35.00,775.00,271250.00,94937.50,35%,Outlet
Walmart,8/15/2020,South,Texas,Houston,Women's Athletic Footwear,40.00,700.00,280000.00,126000.00,45%,Outlet
Walmart,8/16/2020,South,Texas,Houston,Men's Apparel,45.00,600.00,270000.00,81000.00,30%,Outlet
Walmart,8/17/2020,South,Texas,Houston,Women's Apparel,40.00,950.00,380000.00,190000.00,50%,Outlet
Walmart,8/18/2020,South,Texas,Houston,Men's Street Footwear,40.00,950.00,380000.00,133000.00,35%,Outlet
Walmart,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,950.00,427500.00,149625.00,35%,Outlet
Walmart,8/20/2020,South,Texas,Houston,Women's Street Footwear,40.00,800.00,320000.00,112000.00,35%,Outlet
Walmart,8/21/2020,South,Texas,Houston,Women's Athletic Footwear,40.00,750.00,300000.00,135000.00,45%,Outlet
Walmart,8/22/2020,South,Texas,Houston,Men's Apparel,45.00,650.00,292500.00,87750.00,30%,Outlet
Walmart,8/23/2020,South,Texas,Houston,Women's Apparel,50.00,1000.00,500000.00,250000.00,50%,Outlet
Walmart,8/24/2020,South,Texas,Houston,Men's Street Footwear,40.00,950.00,380000.00,133000.00,35%,Outlet
Walmart,8/25/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,950.00,427500.00,149625.00,35%,Outlet
Walmart,8/26/2020,South,Texas,Houston,Women's Street Footwear,40.00,1100.00,440000.00,154000.00,35%,Outlet
Walmart,8/27/2020,South,Texas,Houston,Women's Athletic Footwear,40.00,700.00,280000.00,126000.00,45%,Outlet
Walmart,8/28/2020,South,Texas,Houston,Men's Apparel,45.00,700.00,315000.00,94500.00,30%,Outlet
Walmart,8/29/2020,South,Texas,Houston,Women's Apparel,50.00,975.00,487500.00,243750.00,50%,Outlet
Walmart,8/30/2020,South,Texas,Houston,Men's Street Footwear,40.00,925.00,370000.00,129500.00,35%,Outlet
Walmart,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,925.00,416250.00,145687.50,35%,Outlet
Walmart,9/1/2020,South,Texas,Houston,Women's Street Footwear,40.00,1100.00,440000.00,154000.00,35%,Outlet
Walmart,9/2/2020,South,Texas,Houston,Women's Athletic Footwear,40.00,650.00,260000.00,117000.00,45%,Outlet
Walmart,9/3/2020,South,Texas,Houston,Men's Apparel,45.00,650.00,292500.00,87750.00,30%,Outlet
Walmart,9/4/2020,South,Texas,Houston,Women's Apparel,50.00,900.00,450000.00,225000.00,50%,Outlet
Walmart,9/5/2020,South,Texas,Houston,Men's Street Footwear,45.00,850.00,382500.00,133875.00,35%,Outlet
Walmart,9/6/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,850.00,382500.00,133875.00,35%,Outlet
Walmart,9/7/2020,South,Texas,Houston,Women's Street Footwear,50.00,900.00,450000.00,157500.00,35%,Outlet
Walmart,9/8/2020,South,Texas,Houston,Women's Athletic Footwear,50.00,625.00,312500.00,140625.00,45%,Outlet
Walmart,9/9/2020,South,Texas,Houston,Men's Apparel,45.00,625.00,281250.00,84375.00,30%,Outlet
Walmart,9/10/2020,South,Texas,Houston,Women's Apparel,55.00,850.00,467500.00,233750.00,50%,Outlet
Walmart,9/11/2020,South,Texas,Houston,Men's Street Footwear,45.00,800.00,360000.00,126000.00,35%,Outlet
Walmart,9/12/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,800.00,360000.00,126000.00,35%,Outlet
Walmart,9/13/2020,South,Texas,Houston,Women's Street Footwear,50.00,750.00,375000.00,131250.00,35%,Outlet
Walmart,9/14/2020,South,Texas,Houston,Women's Athletic Footwear,50.00,600.00,300000.00,135000.00,45%,Outlet
Walmart,9/15/2020,South,Texas,Houston,Men's Apparel,45.00,575.00,258750.00,77625.00,30%,Outlet
Walmart,9/16/2020,South,Texas,Houston,Women's Apparel,55.00,750.00,412500.00,206250.00,50%,Outlet
Walmart,10/20/2020,South,Texas,Houston,Men's Street Footwear,45.00,900.00,405000.00,141750.00,35%,Outlet
Walmart,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,900.00,405000.00,141750.00,35%,Outlet
Walmart,10/22/2020,South,Texas,Houston,Women's Street Footwear,50.00,825.00,412500.00,144375.00,35%,Outlet
Walmart,10/23/2020,South,Texas,Houston,Women's Athletic Footwear,50.00,675.00,337500.00,151875.00,45%,Outlet
Walmart,10/24/2020,South,Texas,Houston,Men's Apparel,45.00,650.00,292500.00,87750.00,30%,Outlet
Walmart,10/25/2020,South,Texas,Houston,Women's Apparel,55.00,850.00,467500.00,233750.00,50%,Outlet
Walmart,10/26/2020,South,Texas,Houston,Men's Street Footwear,45.00,950.00,427500.00,149625.00,35%,Outlet
Walmart,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,950.00,427500.00,149625.00,35%,Outlet
Walmart,10/28/2020,South,Texas,Houston,Women's Street Footwear,50.00,850.00,425000.00,148750.00,35%,Outlet
Walmart,10/29/2020,South,Texas,Houston,Women's Athletic Footwear,50.00,700.00,350000.00,157500.00,45%,Outlet
Walmart,10/30/2020,South,Texas,Houston,Men's Apparel,45.00,650.00,292500.00,87750.00,30%,Outlet
Walmart,10/31/2020,South,Texas,Houston,Women's Apparel,55.00,900.00,495000.00,247500.00,50%,Outlet
West Gear,11/1/2020,South,Texas,Houston,Men's Street Footwear,40.00,775.00,310000.00,108500.00,35%,Outlet
West Gear,11/2/2020,South,Texas,Houston,Men's Athletic Footwear,50.00,775.00,387500.00,77500.00,20%,Outlet
West Gear,11/3/2020,South,Texas,Houston,Women's Street Footwear,50.00,775.00,387500.00,135625.00,35%,Outlet
West Gear,11/4/2020,South,Texas,Houston,Women's Athletic Footwear,50.00,625.00,312500.00,93750.00,30%,Outlet
West Gear,11/5/2020,West,California,San Francisco,Men's Apparel,55.00,575.00,316250.00,158125.00,50%,Outlet
West Gear,11/6/2020,West,California,San Francisco,Women's Apparel,50.00,775.00,387500.00,58125.00,15%,Outlet
West Gear,11/7/2020,West,California,San Francisco,Men's Street Footwear,40.00,825.00,330000.00,115500.00,35%,Outlet
West Gear,11/8/2020,West,California,San Francisco,Men's Athletic Footwear,50.00,725.00,362500.00,72500.00,20%,Outlet
West Gear,11/9/2020,West,California,San Francisco,Women's Street Footwear,50.00,725.00,362500.00,126875.00,35%,Outlet
West Gear,11/10/2020,West,California,San Francisco,Women's Athletic Footwear,50.00,575.00,287500.00,86250.00,30%,Outlet
West Gear,11/11/2020,West,California,San Francisco,Men's Apparel,55.00,500.00,275000.00,137500.00,50%,Outlet
West Gear,11/12/2020,West,California,San Francisco,Women's Apparel,50.00,700.00,350000.00,52500.00,15%,Outlet
West Gear,11/13/2020,West,California,San Francisco,Men's Street Footwear,50.00,850.00,425000.00,148750.00,35%,Outlet
West Gear,11/14/2020,West,California,San Francisco,Men's Athletic Footwear,60.00,700.00,420000.00,84000.00,20%,Outlet
West Gear,11/15/2020,West,California,San Francisco,Women's Street Footwear,60.00,700.00,420000.00,147000.00,35%,Outlet
West Gear,12/22/2020,West,California,San Francisco,Women's Athletic Footwear,60.00,600.00,360000.00,108000.00,30%,Outlet
West Gear,12/23/2020,West,California,San Francisco,Men's Apparel,65.00,500.00,325000.00,162500.00,50%,Outlet
West Gear,12/24/2020,West,California,San Francisco,Women's Apparel,60.00,700.00,420000.00,63000.00,15%,Outlet
West Gear,12/25/2020,West,California,San Francisco,Men's Street Footwear,60.00,875.00,525000.00,183750.00,35%,Outlet
West Gear,12/26/2020,West,California,San Francisco,Men's Athletic Footwear,65.00,675.00,438750.00,87750.00,20%,Outlet
West Gear,12/27/2020,West,California,San Francisco,Women's Street Footwear,65.00,725.00,471250.00,164937.50,35%,Outlet
West Gear,12/28/2020,West,California,San Francisco,Women's Athletic Footwear,60.00,625.00,375000.00,112500.00,30%,Outlet
West Gear,12/29/2020,West,California,San Francisco,Men's Apparel,65.00,525.00,341250.00,170625.00,50%,Outlet
West Gear,12/30/2020,West,California,San Francisco,Women's Apparel,80.00,700.00,560000.00,84000.00,15%,Outlet
West Gear,12/31/2020,West,California,San Francisco,Men's Street Footwear,60.00,900.00,540000.00,216000.00,40%,Outlet
West Gear,1/1/2021,West,California,San Francisco,Men's Athletic Footwear,65.00,750.00,487500.00,121875.00,25%,Outlet
West Gear,1/2/2021,West,California,San Francisco,Women's Street Footwear,65.00,750.00,487500.00,195000.00,40%,Outlet
West Gear,1/3/2021,West,California,San Francisco,Women's Athletic Footwear,60.00,650.00,390000.00,136500.00,35%,Outlet
West Gear,1/4/2021,West,California,San Francisco,Men's Apparel,65.00,550.00,357500.00,196625.00,55%,Outlet
West Gear,1/5/2021,West,California,San Francisco,Women's Apparel,80.00,725.00,580000.00,116000.00,20%,Outlet
West Gear,1/6/2021,West,California,San Francisco,Men's Street Footwear,60.00,975.00,585000.00,234000.00,40%,Outlet
West Gear,1/7/2021,West,California,San Francisco,Men's Athletic Footwear,65.00,825.00,536250.00,134062.50,25%,Outlet
West Gear,1/8/2021,West,California,San Francisco,Women's Street Footwear,65.00,825.00,536250.00,214500.00,40%,Outlet
West Gear,1/9/2021,West,California,San Francisco,Women's Athletic Footwear,60.00,700.00,420000.00,147000.00,35%,Outlet
West Gear,1/10/2021,West,California,San Francisco,Men's Apparel,65.00,575.00,373750.00,205562.50,55%,Outlet
West Gear,1/11/2021,West,California,San Francisco,Women's Apparel,80.00,875.00,700000.00,140000.00,20%,Outlet
West Gear,1/12/2021,West,California,San Francisco,Men's Street Footwear,60.00,1025.00,615000.00,215250.00,35%,Outlet
West Gear,1/13/2021,West,California,San Francisco,Men's Athletic Footwear,65.00,875.00,568750.00,113750.00,20%,Outlet
West Gear,1/14/2021,West,California,San Francisco,Women's Street Footwear,65.00,825.00,536250.00,187687.50,35%,Outlet
West Gear,1/15/2021,West,California,San Francisco,Women's Athletic Footwear,60.00,725.00,435000.00,130500.00,30%,Outlet
West Gear,1/16/2021,West,California,San Francisco,Men's Apparel,65.00,775.00,503750.00,251875.00,50%,Outlet
West Gear,1/17/2021,West,California,San Francisco,Women's Apparel,80.00,775.00,620000.00,93000.00,15%,Outlet
West Gear,1/18/2021,West,California,San Francisco,Men's Street Footwear,65.00,975.00,633750.00,221812.50,35%,Outlet
West Gear,1/19/2021,West,California,San Francisco,Men's Athletic Footwear,70.00,925.00,647500.00,129500.00,20%,Outlet
West Gear,1/20/2021,West,California,San Francisco,Women's Street Footwear,65.00,800.00,520000.00,182000.00,35%,Outlet
West Gear,1/21/2021,West,California,San Francisco,Women's Athletic Footwear,65.00,750.00,487500.00,146250.00,30%,Outlet
West Gear,1/22/2021,West,California,San Francisco,Men's Apparel,75.00,750.00,562500.00,281250.00,50%,Outlet
West Gear,1/23/2021,West,California,San Francisco,Women's Apparel,80.00,725.00,580000.00,87000.00,15%,Outlet
West Gear,1/24/2021,West,California,San Francisco,Men's Street Footwear,55.00,925.00,508750.00,152625.00,30%,Outlet
West Gear,1/25/2021,West,California,San Francisco,Men's Athletic Footwear,60.00,925.00,555000.00,83250.00,15%,Outlet
West Gear,1/26/2021,West,California,San Francisco,Women's Street Footwear,55.00,775.00,426250.00,127875.00,30%,Outlet
West Gear,1/27/2021,West,California,San Francisco,Women's Athletic Footwear,55.00,725.00,398750.00,99687.50,25%,Outlet
West Gear,1/28/2021,West,California,San Francisco,Men's Apparel,65.00,725.00,471250.00,212062.50,45%,Outlet
West Gear,1/29/2021,West,California,San Francisco,Women's Apparel,70.00,775.00,542500.00,54250.00,10%,Outlet
West Gear,1/30/2021,West,California,San Francisco,Men's Street Footwear,55.00,875.00,481250.00,144375.00,30%,Outlet
West Gear,1/31/2021,West,California,San Francisco,Men's Athletic Footwear,60.00,875.00,525000.00,78750.00,15%,Outlet
West Gear,2/1/2021,West,California,San Francisco,Women's Street Footwear,55.00,700.00,385000.00,115500.00,30%,Outlet
West Gear,2/2/2021,West,California,San Francisco,Women's Athletic Footwear,55.00,675.00,371250.00,92812.50,25%,Outlet
West Gear,2/3/2021,West,California,San Francisco,Men's Apparel,65.00,650.00,422500.00,190125.00,45%,Outlet
West Gear,2/4/2021,West,California,San Francisco,Women's Apparel,70.00,700.00,490000.00,49000.00,10%,Outlet
West Gear,2/5/2021,West,California,San Francisco,Men's Street Footwear,55.00,875.00,481250.00,144375.00,30%,Outlet
West Gear,2/6/2021,West,California,San Francisco,Men's Athletic Footwear,60.00,875.00,525000.00,78750.00,15%,Outlet
West Gear,2/7/2021,West,California,San Francisco,Women's Street Footwear,55.00,725.00,398750.00,119625.00,30%,Outlet
West Gear,2/8/2021,West,California,San Francisco,Women's Athletic Footwear,55.00,700.00,385000.00,96250.00,25%,Outlet
West Gear,2/9/2021,West,California,San Francisco,Men's Apparel,65.00,650.00,422500.00,190125.00,45%,Outlet
West Gear,2/10/2021,West,California,San Francisco,Women's Apparel,70.00,775.00,542500.00,54250.00,10%,Outlet
West Gear,2/11/2021,West,California,San Francisco,Men's Street Footwear,55.00,975.00,536250.00,160875.00,30%,Outlet
West Gear,2/12/2021,West,California,San Francisco,Men's Athletic Footwear,60.00,975.00,585000.00,87750.00,15%,Outlet
West Gear,2/13/2021,West,California,San Francisco,Women's Street Footwear,55.00,775.00,426250.00,127875.00,30%,Outlet
West Gear,2/14/2021,West,California,San Francisco,Women's Athletic Footwear,55.00,775.00,426250.00,106562.50,25%,Outlet
West Gear,2/15/2021,West,California,San Francisco,Men's Apparel,65.00,700.00,455000.00,204750.00,45%,Outlet
West Gear,2/16/2021,West,California,San Francisco,Women's Apparel,70.00,800.00,560000.00,56000.00,10%,Outlet
Kohl's,2/17/2021,West,California,San Francisco,Men's Street Footwear,35.00,700.00,245000.00,98000.00,40%,Outlet
Kohl's,2/18/2021,West,California,San Francisco,Men's Athletic Footwear,45.00,700.00,315000.00,78750.00,25%,Outlet
Kohl's,3/9/2021,West,California,San Francisco,Women's Street Footwear,45.00,700.00,315000.00,126000.00,40%,Outlet
Kohl's,3/10/2021,West,California,San Francisco,Women's Athletic Footwear,45.00,550.00,247500.00,86625.00,35%,Outlet
Kohl's,3/11/2021,West,California,Los Angeles,Men's Apparel,50.00,500.00,250000.00,137500.00,55%,Outlet
Kohl's,3/12/2021,West,California,Los Angeles,Women's Apparel,45.00,700.00,315000.00,63000.00,20%,Outlet
Kohl's,3/13/2021,West,California,Los Angeles,Men's Street Footwear,35.00,750.00,262500.00,105000.00,40%,Outlet
Kohl's,3/14/2021,West,California,Los Angeles,Men's Athletic Footwear,45.00,650.00,292500.00,73125.00,25%,Outlet
Kohl's,3/15/2021,West,California,Los Angeles,Women's Street Footwear,45.00,675.00,303750.00,121500.00,40%,Outlet
Kohl's,3/16/2021,West,California,Los Angeles,Women's Athletic Footwear,45.00,525.00,236250.00,82687.50,35%,Outlet
Kohl's,3/17/2021,West,California,Los Angeles,Men's Apparel,50.00,450.00,225000.00,123750.00,55%,Outlet
Kohl's,3/18/2021,West,California,Los Angeles,Women's Apparel,45.00,650.00,292500.00,58500.00,20%,Outlet
Kohl's,3/19/2021,West,California,Los Angeles,Men's Street Footwear,35.00,800.00,280000.00,112000.00,40%,Outlet
Kohl's,3/20/2021,West,California,Los Angeles,Men's Athletic Footwear,45.00,650.00,292500.00,73125.00,25%,Outlet
Kohl's,3/21/2021,West,California,Los Angeles,Women's Street Footwear,45.00,650.00,292500.00,117000.00,40%,Outlet
Kohl's,3/22/2021,West,California,Los Angeles,Women's Athletic Footwear,45.00,550.00,247500.00,86625.00,35%,Outlet
Kohl's,3/23/2021,West,California,Los Angeles,Men's Apparel,50.00,425.00,212500.00,116875.00,55%,Outlet
Kohl's,4/6/2021,West,California,Los Angeles,Women's Apparel,45.00,625.00,281250.00,56250.00,20%,Outlet
Kohl's,4/7/2021,West,California,Los Angeles,Men's Street Footwear,45.00,800.00,360000.00,144000.00,40%,Outlet
Kohl's,4/8/2021,West,California,Los Angeles,Men's Athletic Footwear,50.00,600.00,300000.00,75000.00,25%,Outlet
Kohl's,4/9/2021,West,California,Los Angeles,Women's Street Footwear,50.00,625.00,312500.00,125000.00,40%,Outlet
Kohl's,4/10/2021,West,California,Los Angeles,Women's Athletic Footwear,45.00,525.00,236250.00,82687.50,35%,Outlet
